13,3.0,2.6667,3.6667,3.8571,3.75,3.5714,3.8333
12,3.625,3.1667,3.6667,3.7143,3.25,3.7143,3.6667
3,3.75,3.1667,3.8333,4.0,2.25,3.0,3.1667
10,4.375,3.6667,3.0,4.1429,4.25,3.7143,4.8333
5,3.5,2.6667,3.3333,3.1429,3.5,2.2857,3.3333
9,3.625,3.3333,3.5,2.4286,3.5,4.1429,1.0
15,4.0,4.8333,4.3333,2.4286,5.0,5.0,5.0
3,2.25,2.0,2.0,2.1429,1.25,1.4286,1.8333
12,3.625,3.5,3.6667,3.8571,4.25,4.1429,4.5
15,4.0,5.0,5.0,4.4286,5.0,5.0,5.0
9,3.375,2.5,3.1667,3.0,2.5,2.8571,3.1667
11,4.0,4.1667,3.6667,4.0,3.25,3.4286,2.8333
12,3.25,3.8333,4.1667,4.8571,3.75,3.8571,5.0
9,3.0,3.0,3.0,3.0,3.0,3.0,3.0
9,3.0,3.0,3.0,3.0,3.0,3.0,3.0
14,3.75,4.0,4.3333,4.4286,4.25,4.4286,4.0
12,2.875,3.6667,3.3333,3.8571,3.25,3.1429,4.6667
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
3,1.5,1.0,1.0,1.5714,1.0,1.0,1.0
12,3.375,3.3333,3.6667,3.5714,3.0,3.7143,4.0
12,3.5,3.5,3.6667,3.7143,2.5,2.7143,3.6667
11,3.875,3.3333,3.3333,3.1429,3.75,3.2857,3.6667
12,3.625,3.8333,3.5,3.7143,3.25,3.7143,3.8333
13,4.0,3.5,3.6667,4.2857,4.5,4.7143,5.0
12,3.5,3.3333,3.0,3.1429,3.25,3.1429,3.1667
13,4.0,4.1667,4.1667,4.5714,5.0,5.0,5.0
9,3.625,3.8333,3.3333,3.1429,3.5,3.7143,3.8333
12,3.25,4.0,3.8333,3.8571,4.0,4.0,4.0
6,3.375,2.8333,2.5,3.8571,4.25,2.8571,3.8333
12,3.25,3.0,3.3333,3.4286,3.25,3.5714,3.5
13,3.375,3.6667,3.1667,3.7143,2.75,3.7143,3.8333
15,3.75,4.8333,4.8333,4.2857,4.25,4.2857,4.5
9,3.375,3.1667,3.5,3.2857,3.0,3.0,3.0
9,2.75,2.6667,2.6667,3.0,3.0,2.8571,3.0
12,3.5,4.3333,3.6667,3.5714,3.5,3.2857,3.8333
12,4.0,3.5,3.8333,3.8571,3.5,3.2857,3.6667
15,3.5,2.6667,3.3333,3.4286,3.5,4.2857,5.0
12,3.125,3.0,3.0,3.0,3.0,3.0,3.0
9,3.125,2.8333,3.5,2.1429,3.0,3.1429,3.0
10,3.125,3.0,3.1667,3.1429,3.0,2.2857,2.1667
11,3.875,3.3333,3.3333,3.2857,3.5,3.4286,3.3333
13,3.875,3.8333,4.0,4.1429,3.5,3.1429,4.0
7,4.5,4.5,4.8333,4.2857,4.0,4.8571,4.6667
5,3.0,3.8333,4.0,4.1429,1.0,2.1429,4.6667
15,4.5,5.0,5.0,5.0,5.0,5.0,5.0
3,1.5,1.0,1.0,1.5714,1.0,1.0,1.0
10,3.75,4.0,4.1667,3.5714,4.25,4.4286,3.8333
10,3.125,3.3333,3.5,3.1429,4.25,4.0,3.6667
9,3.25,2.6667,3.5,2.8571,1.0,3.0,3.6667
11,3.25,3.5,3.3333,3.5714,4.0,3.4286,2.8333
12,4.125,3.3333,3.6667,3.2857,2.5,2.0,4.0
3,3.75,2.1667,3.8333,4.0,3.0,2.1429,4.6667
9,3.375,3.0,3.0,3.5714,3.5,3.8571,4.5
12,3.625,3.6667,4.0,3.7143,3.75,4.0,4.0
12,4.125,4.1667,4.8333,4.8571,4.0,4.4286,5.0
9,3.125,2.5,3.3333,3.7143,2.75,2.5714,3.3333
13,4.375,4.8333,4.0,4.7143,4.5,4.4286,4.8333
12,3.0,3.6667,3.6667,3.8571,3.5,3.7143,4.1667
13,3.625,4.5,3.6667,4.4286,4.0,3.5714,5.0
12,3.625,3.6667,3.8333,4.0,2.5,3.2857,3.6667
6,3.125,3.3333,3.8333,4.2857,3.75,3.4286,3.5
9,3.0,2.3333,2.6667,3.0,3.0,2.5714,2.8333
9,4.125,3.6667,3.5,3.5714,2.25,2.4286,4.5
9,3.0,3.1667,2.3333,3.2857,3.0,3.1429,2.1667
12,3.25,3.8333,3.5,3.7143,3.5,3.8571,3.8333
10,3.5,2.8333,2.5,3.5714,2.75,3.5714,4.1667
7,2.375,2.3333,2.3333,2.4286,3.5,2.8571,1.0
9,3.375,2.6667,3.1667,3.4286,3.0,3.2857,3.8333
9,2.875,3.0,3.3333,3.1429,2.5,4.0,4.8333
6,2.25,2.1667,2.5,2.2857,2.5,2.0,1.8333
13,4.0,3.1667,3.8333,3.8571,2.75,3.7143,3.3333
9,3.5,3.0,3.1667,3.1429,3.0,3.0,3.3333
9,3.625,3.5,3.6667,4.0,4.0,4.0,4.6667
15,4.25,4.6667,5.0,4.5714,4.75,4.4286,4.5
12,3.75,3.3333,3.6667,4.0,2.75,3.7143,4.0
12,3.125,3.8333,3.5,4.2857,3.25,4.5714,4.1667
12,3.75,4.3333,4.6667,3.5714,3.75,3.5714,4.3333
15,4.375,4.3333,3.8333,4.8571,3.75,2.2857,5.0
10,3.75,3.5,3.6667,4.0,3.75,3.2857,4.1667
11,3.25,2.6667,2.3333,3.7143,2.25,2.0,3.3333
8,3.75,3.1667,3.1667,3.5714,3.5,3.5714,2.5
15,4.25,4.8333,3.8333,4.4286,5.0,5.0,5.0
11,3.625,4.0,4.0,3.5714,2.75,3.8571,4.0
12,3.875,3.6667,3.8333,4.5714,5.0,4.4286,4.8333
12,3.375,2.6667,2.3333,3.4286,3.25,4.0,3.6667
9,3.625,3.6667,4.0,3.8571,2.75,3.4286,5.0
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
9,4.125,2.8333,2.6667,3.5714,3.5,2.2857,2.6667
11,3.875,4.3333,2.8333,3.4286,3.75,4.2857,4.0
9,3.125,2.8333,3.1667,2.8571,2.0,2.7143,3.1667
6,3.375,2.8333,2.6667,3.4286,2.5,2.4286,2.6667
8,3.375,3.3333,4.0,2.5714,2.25,2.4286,3.1667
12,3.875,3.5,3.3333,4.2857,5.0,5.0,5.0
5,3.5,2.8333,2.6667,3.5714,2.0,2.7143,4.0
3,1.625,1.1667,1.0,1.5714,1.0,2.0,2.0
9,3.875,3.1667,3.3333,3.5714,2.25,3.2857,4.3333
13,3.5,4.0,4.1667,4.0,3.25,4.5714,4.1667
9,3.125,3.5,3.3333,3.5714,3.75,4.2857,4.5
9,3.125,3.6667,3.5,3.4286,2.75,2.5714,5.0
9,3.0,3.0,3.0,3.0,3.5,2.8571,3.0
12,3.75,4.0,4.0,4.0,4.0,4.0,4.0
9,3.0,3.0,3.0,3.0,3.0,3.0,3.0
12,3.25,3.5,3.0,4.1429,3.75,3.5714,3.6667
3,2.0,1.0,1.0,1.5714,1.0,1.0,1.0
15,4.25,5.0,5.0,4.8571,5.0,4.8571,5.0
10,3.375,3.1667,3.5,3.4286,4.0,3.5714,3.3333
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
12,3.75,4.0,4.0,3.7143,3.75,4.1429,4.3333
12,4.0,4.0,3.8333,4.2857,3.75,3.8571,4.1667
15,3.625,3.5,3.3333,4.5714,4.25,3.0,5.0
7,3.5,3.6667,4.0,2.1429,2.0,2.0,3.6667
9,3.75,3.8333,3.6667,3.7143,3.5,3.5714,3.6667
12,3.0,4.0,3.6667,4.0,3.75,3.4286,3.8333
12,4.25,4.1667,3.6667,4.4286,2.75,4.7143,3.1667
15,4.25,4.1667,3.8333,4.5714,5.0,3.4286,5.0
9,3.375,3.1667,3.6667,3.4286,2.75,3.1429,4.0
9,3.625,3.6667,3.6667,3.5714,3.5,3.2857,3.6667
10,3.5,3.1667,2.6667,3.0,2.75,3.0,3.5
10,3.0,2.8333,2.6667,2.4286,2.5,1.7143,2.0
15,3.125,3.6667,3.6667,3.0,3.5,3.5714,3.3333
11,3.375,3.5,3.5,3.5714,3.5,3.5714,3.3333
14,3.625,3.8333,3.5,4.5714,3.75,3.2857,3.8333
3,3.5,3.6667,5.0,4.4286,5.0,5.0,5.0
8,4.0,3.1667,3.5,4.0,3.0,2.8571,2.8333
4,2.0,3.0,3.3333,1.5714,1.75,1.2857,1.0
12,3.25,3.6667,3.0,4.0,4.0,4.0,4.0
12,4.375,3.6667,4.0,3.7143,4.0,3.7143,4.1667
10,3.875,3.6667,3.3333,4.2857,3.0,3.5714,4.0
6,5.0,3.5,4.3333,2.4286,1.25,3.8571,5.0
3,1.5,1.0,1.0,1.5714,1.0,1.0,1.0
12,3.75,3.1667,3.5,3.4286,3.0,3.2857,4.0
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
15,3.875,4.0,4.8333,4.4286,4.75,4.5714,4.3333
15,4.625,5.0,5.0,4.8571,5.0,5.0,5.0
12,3.5,4.0,3.5,3.7143,4.0,3.4286,3.1667
12,3.5,3.3333,3.3333,3.0,3.0,3.1429,3.3333
9,3.0,3.1667,3.0,3.2857,3.0,4.8571,5.0
14,2.875,4.5,4.5,4.8571,4.75,2.2857,5.0
15,4.125,4.5,4.1667,4.8571,3.75,4.7143,5.0
13,3.75,3.5,3.5,3.5714,3.25,3.5714,3.6667
12,3.5,3.1667,3.8333,1.8571,3.0,3.0,2.6667
11,4.5,4.6667,4.0,4.8571,5.0,5.0,5.0
3,3.5,2.8333,2.1667,4.4286,3.75,4.2857,2.0
7,3.625,3.1667,3.5,3.2857,3.0,3.7143,3.1667
6,2.0,1.6667,2.0,2.0,2.0,2.0,2.3333
10,3.625,4.0,4.0,4.0,4.0,4.0,4.0
12,3.25,3.8333,4.0,4.2857,3.75,3.8571,3.6667
15,3.5,3.5,4.0,3.4286,3.5,3.5714,4.0
15,4.5,3.5,4.0,3.7143,4.0,4.0,4.1667
13,3.125,3.5,2.3333,3.4286,3.75,4.1429,3.3333
15,3.5,3.1667,3.0,4.2857,3.25,3.4286,3.5
15,3.75,4.3333,3.5,4.5714,4.5,4.5714,4.6667
12,3.75,3.3333,3.8333,3.8571,3.0,4.2857,3.8333
12,3.5,3.5,3.5,4.0,4.0,4.0,4.0
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
9,3.625,3.0,2.5,4.2857,4.0,3.7143,4.1667
8,2.875,2.8333,3.6667,3.0,3.25,3.0,2.8333
9,2.875,2.3333,2.5,3.1429,2.5,2.1429,3.3333
3,3.875,1.3333,1.3333,4.4286,2.0,1.1429,4.0
10,3.25,4.3333,4.5,4.1429,4.25,4.0,4.1667
6,2.75,2.8333,3.5,3.1429,2.0,3.0,3.5
11,2.875,3.3333,3.1667,3.8571,3.5,4.0,3.8333
9,3.375,3.0,3.6667,2.8571,3.25,2.8571,3.1667
9,3.5,3.1667,3.3333,3.5714,3.25,3.8571,4.0
13,3.5,3.5,3.5,3.5714,3.75,4.0,4.1667
15,4.25,5.0,5.0,4.4286,5.0,5.0,5.0
12,3.125,3.0,3.0,3.1429,3.25,3.1429,3.5
12,3.375,3.8333,3.1667,4.0,4.0,4.2857,3.8333
6,3.5,2.8333,2.8333,4.0,3.25,4.0,4.1667
10,3.25,3.3333,3.6667,4.2857,3.75,3.5714,3.8333
12,4.0,3.1667,3.0,4.5714,3.0,3.8571,4.6667
13,3.5,3.3333,2.6667,3.4286,4.0,3.1429,3.6667
13,3.625,4.3333,4.1667,4.1429,3.5,4.0,4.3333
12,3.75,4.0,4.0,3.8571,4.0,4.0,4.0
11,2.5,3.0,3.0,3.8571,3.5,2.7143,3.8333
11,4.25,3.5,3.5,4.2857,3.0,4.0,3.8333
12,3.375,4.0,4.0,4.1429,3.25,4.1429,4.0
6,3.0,2.3333,3.3333,3.2857,3.0,3.0,3.0
12,3.625,3.3333,2.3333,3.4286,3.5,3.7143,4.0
8,3.5,4.6667,3.1667,4.2857,3.5,4.4286,4.5
14,3.75,3.6667,3.8333,4.0,3.75,3.5714,4.1667
12,2.625,2.8333,2.6667,3.2857,3.0,3.0,3.0
15,4.5,1.8333,2.0,4.0,1.75,1.7143,4.6667
10,3.375,3.5,3.0,3.7143,3.5,4.0,3.6667
9,4.0,3.0,3.0,4.8571,4.5,4.7143,5.0
12,3.25,3.0,2.5,3.5714,3.5,3.5714,2.8333
9,3.375,2.8333,3.1667,1.0,1.75,2.1429,2.6667
12,3.75,3.5,3.6667,3.8571,3.75,3.4286,4.0
10,3.5,3.3333,3.5,3.7143,3.5,4.4286,5.0
12,3.5,3.0,3.0,3.0,3.0,3.0,3.0
15,4.0,5.0,5.0,4.5714,4.5,4.2857,5.0
11,3.625,3.1667,3.0,3.5714,3.25,3.0,3.6667
9,3.625,4.0,3.8333,4.0,4.0,4.0,4.0
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
12,3.5,2.8333,3.0,4.0,3.0,4.1429,4.8333
12,4.25,3.6667,4.0,3.8571,4.0,4.2857,4.0
15,4.0,4.5,4.1667,4.8571,4.75,4.0,4.6667
10,3.25,3.6667,3.6667,3.7143,3.5,3.8571,3.3333
9,4.0,3.8333,3.3333,4.1429,3.0,3.4286,3.0
3,4.125,2.8333,2.5,3.7143,2.5,3.4286,5.0
12,3.75,3.3333,3.8333,5.0,3.25,3.0,3.1667
10,3.25,3.0,3.5,3.4286,3.75,3.0,3.1667
12,3.75,3.8333,4.0,3.1429,4.0,4.0,4.0
8,2.75,1.3333,1.5,2.8571,1.5,2.2857,2.5
13,3.875,4.3333,4.6667,4.1429,4.75,4.2857,4.1667
12,3.5,3.1667,2.8333,4.8571,4.75,5.0,3.6667
9,3.375,3.5,3.8333,4.0,3.75,3.5714,2.1667
12,3.5,3.3333,3.3333,4.5714,3.25,3.7143,3.6667
11,3.75,3.5,3.6667,3.8571,4.0,4.2857,4.3333
13,3.125,4.0,2.8333,3.5714,4.0,4.4286,3.1667
15,4.0,4.0,4.3333,4.2857,4.25,4.2857,4.5
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
12,3.5,3.3333,3.6667,3.5714,4.25,4.1429,2.3333
12,3.375,4.0,3.6667,3.7143,3.5,4.0,4.0
12,3.75,3.5,3.5,3.8571,3.75,4.0,4.0
12,3.625,3.3333,3.6667,4.0,3.0,3.2857,3.5
7,3.5,3.3333,3.3333,3.4286,2.0,2.8571,4.0
10,3.625,3.5,3.6667,3.0,2.5,2.8571,3.6667
9,3.25,3.1667,3.0,3.5714,4.0,4.0,3.6667
14,4.125,4.5,3.8333,4.4286,4.5,4.2857,4.8333
3,3.375,2.5,2.6667,3.0,3.0,3.2857,2.8333
12,3.5,3.8333,3.5,4.0,4.0,4.0,4.0
12,3.75,4.0,3.8333,3.7143,3.75,4.0,3.3333
8,3.5,3.0,3.1667,3.7143,3.0,3.2857,4.1667
12,3.125,4.8333,3.5,4.5714,5.0,5.0,4.3333
9,3.125,3.0,3.3333,3.2857,3.0,3.4286,3.8333
12,3.125,3.3333,2.8333,3.0,3.75,3.4286,3.8333
12,3.25,3.1667,2.5,4.8571,3.5,4.0,4.1667
6,4.0,2.6667,2.3333,2.1429,2.5,2.4286,2.5
15,3.5,5.0,4.1667,4.8571,5.0,4.1429,4.6667
12,4.0,4.0,3.6667,4.0,4.25,5.0,4.3333
3,2.0,1.0,1.0,2.7143,1.0,1.5714,1.0
15,4.0,4.0,4.0,4.1429,4.0,4.0,4.6667
6,3.625,3.6667,4.1667,3.8571,4.5,5.0,5.0
9,3.0,2.8333,2.3333,3.4286,2.5,2.5714,2.8333
15,3.875,3.6667,3.5,3.8571,3.25,4.5714,4.0
9,3.0,2.6667,2.5,3.0,3.25,3.8571,3.0
10,3.25,3.3333,3.0,3.1429,3.25,3.7143,3.1667
3,3.25,4.1667,4.6667,3.8571,4.25,3.2857,5.0
6,2.875,2.3333,2.0,4.2857,2.75,2.7143,3.0
8,3.5,2.5,2.8333,4.7143,2.75,4.2857,4.6667
12,2.875,3.5,3.0,3.0,2.25,3.1429,2.8333
10,4.25,3.3333,2.5,4.0,3.25,3.0,4.1667
15,4.125,5.0,5.0,4.8571,5.0,5.0,5.0
12,3.75,4.0,4.0,3.4286,4.0,4.0,4.0
6,4.0,3.6667,4.1667,4.4286,3.25,3.4286,5.0
8,3.5,3.5,2.6667,3.1429,1.25,2.4286,5.0
12,3.75,4.0,3.3333,3.7143,4.0,4.0,3.8333
9,3.0,3.0,3.0,3.0,3.0,2.5714,3.1667
11,3.875,3.0,3.3333,3.5714,3.25,3.4286,3.6667
8,3.75,3.5,3.0,4.8571,3.25,4.2857,4.6667
12,3.75,3.3333,3.1667,4.5714,4.25,4.8571,4.5
4,2.0,1.3333,1.0,2.1429,2.0,1.2857,1.0
14,4.125,4.5,3.3333,4.1429,4.5,4.1429,4.0
15,4.5,3.0,4.6667,5.0,5.0,4.8571,5.0
7,3.125,3.3333,3.6667,4.7143,2.5,3.2857,4.1667
10,4.375,4.0,4.1667,4.8571,4.0,4.2857,3.8333
12,3.75,3.6667,3.3333,3.0,2.5,2.2857,2.6667
15,3.5,3.1667,2.8333,3.4286,3.75,3.5714,3.3333
14,4.5,4.0,4.1667,3.5714,4.5,4.4286,4.1667
15,4.25,4.3333,5.0,3.0,3.25,3.5714,4.8333
15,3.75,3.6667,4.3333,3.4286,3.75,4.0,4.3333
15,4.5,5.0,4.3333,4.7143,3.25,5.0,5.0
12,3.625,3.6667,3.5,3.7143,3.75,3.8571,3.8333
10,3.375,3.3333,3.0,3.4286,3.25,3.2857,3.1667
13,4.125,4.0,3.8333,4.0,3.75,4.0,4.0
9,4.125,4.1667,4.0,4.2857,3.25,4.0,4.0
9,3.0,3.6667,3.8333,3.7143,2.75,2.5714,2.6667
9,3.0,2.5,3.1667,3.1429,2.75,2.2857,3.5
15,4.5,3.3333,3.6667,3.8571,4.5,4.8571,5.0
14,3.625,4.1667,3.5,4.4286,4.25,4.7143,4.3333
12,3.5,2.8333,3.0,4.0,3.25,4.5714,4.6667
12,3.75,3.1667,4.3333,3.2857,3.75,4.1429,4.1667
8,3.625,3.1667,3.6667,4.0,3.25,3.7143,4.1667
13,3.625,3.8333,3.8333,4.5714,4.25,4.1429,3.1667
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
15,4.5,5.0,5.0,4.4286,5.0,5.0,5.0
